Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Килимник,Анастасія,Ігорівна,Жінка,1996-09-10,Локсмайстер,місто Сіверськ,"площа Тролейбусна, буд. 6, Середина-Буда, 71183",085 127 64 84,serhiidrozd@gmail.com
Давимука,Едуард,Васильович,Чоловік,1979-04-28,Науковець,місто Калинівка,"парк Аеропортівський 4-й, буд. 67, Южноукраїнськ, 45913",+380 55 042-77-19,bebeshkomarusia@ukr.net
Андрійчук,Спас,Володимирович,Чоловік,1945-10-07,Психолог,місто Южноукраїнськ,"провулок Рішельєвська, буд. 4, Вишгород, 72120",067 089-53-03,hdzhus@ukr.net
Ванченко,Прохір,Андрійович,Чоловік,1983-05-02,Хореограф,селище Черкаси,"набережна Малинова, буд. 120 кв. 75, Христинівка, 38915",+380 22 874-49-19,darynadatsiuk@ukr.net
Верменич,Ірина,Вікторівна,Жінка,1969-09-04,Секретар,місто Нова Каховка,"парк Мала Арнаутська, буд. 286, Іловайськ, 99970",+380 79 035 72 08,ghrechko@gmail.com
Смик,Костянтин,Ігорович,Чоловік,1968-09-18,Біолог,село Ізяслав,"набережна Партизанська, буд. 190, Тячів, 85880",050 333 69 33,hanna33@ukr.net
Євтушок,Мирон,Васильович,Чоловік,1965-04-18,Пекар,село Полонне,"проспект Новобазарний, буд. 348 кв. 980, Васильків, 21888",+380 56 494-44-20,mykhailynadanchenko@ukr.net
Козаченко,Дмитро,Антонович,Чоловік,1947-10-15,Хімік,село Олександрівськ,"площа Прохоровський, буд. 5, Броди, 88020",038 694 75 22,fmedvedenko@ukr.net
Жученко,Марʼяна,Вікторівна,Жінка,1951-08-04,Сантехнік,село Сніжне,"набережна Павла Клепацького, буд. 903, Барвінкове, 14327",461-15-28,marta74@gmail.com
Зубко,Розалія,Іванівна,Жінка,1987-07-28,Археолог,місто Городня,"шосе Теплична, буд. 5 кв. 750, Рахів, 60481",+380 12 462-12-01,umanetsmaksym@ukr.net
Сімашкевич,Алла,Михайлівна,Жінка,1964-04-22,Кінокритик,місто Барвінкове,"узвіз Центральний аеропорт, буд. 2 кв. 5, Турка, 52407",+380 (56) 189-53-75,prokhirbaran@ukr.net
Гаєвський,Альбіна,Тимофіївна,Жінка,2003-04-20,Ґрунтознавець,село Умань,"сквер Станційна 2-га, буд. 65, Новоград-Волинський, 38140",212-72-83,orkhypbevz@gmail.com
Прокопович,Ілля,Антонович,Чоловік,1978-01-06,Професор,селище Алушта,"вулиця Юрія Коваленка, буд. 97, Ясинувата, 21222",296-80-25,baidakruslan@gmail.com
Сімашкевич,Спас,Сергійович,Чоловік,1967-05-04,Хімік,село Кремінна,"парк Вузький, буд. 2 кв. 171, Часів Яр, 14269",+380 57 363-64-62,khoma13@gmail.com
Оробець,Пріска,Григорівна,Жінка,1975-11-24,Складальник,селище Дніпро,"сквер Колонтаївська, буд. 3, Копичинці, 11188",060-21-32,petro96@gmail.com
Засуха,Феофан,Ігорович,Чоловік,1977-03-21,Літературознавець,селище Почаїв,"узвіз Базарна, буд. 9 кв. 5, Боково-Хрустальне, 28603",+380 (45) 292-14-41,dtkach@ukr.net
Чуприна,Аліна,Михайлівна,Жінка,1970-10-31,Біолог,місто Красногорівка,"шосе Економічний, буд. 3 кв. 39, Косів, 97405",082 262-40-93,petliuraieva@gmail.com
Ткаченко,Ігнат,Васильович,Чоловік,1999-09-29,Водій,місто Кадіївка,"шосе Красива, буд. 41 кв. 21, Апостолове, 63793",415-44-99,ztsybulenko@ukr.net
Чумак,Богуслав,Ігорович,Чоловік,1963-01-17,Програміст,місто Монастирище,"узвіз Виноградний тупик, буд. 50, Алчевськ, 98866",+380 84 203-08-01,jzatula@gmail.com
Єрченко,Назар,Андрійович,Чоловік,1968-11-30,Бібліограф,селище Турка,"набережна Прилуцький, буд. 9 кв. 015, Васильків, 55657",+380 61 289-12-49,perepelytsiahlib@gmail.com
Артюх,Ярина,Валентинівна,Жінка,1996-12-12,Петрограф,селище Єнакієве,"провулок Костанді 3-й, буд. 1, Угнів, 84772",185-39-71,vadym13@gmail.com
Журба,Розалія,Максимівна,Жінка,1961-11-26,Астрофізик,селище Токмак,"проспект Флотська, буд. 6, Довжанськ, 47352",677 90 12,zlatoslava51@gmail.com
Охріменко,Варвара,Зіновіївна,Жінка,1994-09-20,Епідеміолог,місто Сватове,"площа Матюшенка, буд. 134, Новий Калинів, 94069",+380 (25) 093-93-49,hennadii81@ukr.net
Михайличенко,Яків,Антонович,Чоловік,2000-12-04,Футболіст,село Судова Вишня,"шосе Горбатий міст, буд. 467 кв. 7, Чорнобиль, 42893",+380 (40) 244-34-10,trokhymbairak@gmail.com
Короленко,Андрій,Вікторович,Чоловік,1988-10-17,Професор,селище Дунаївці,"сквер Восьмого Березня Лінія 1-ша, буд. 56, Новоград-Волинський, 64068",+380 51 704-59-39,ivanhavrylenko@ukr.net
Яковенко,Ярослав,Максимович,Чоловік,1941-07-13,Бібліограф,село Буринь,"проспект 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 61, Липовець, 28545",+380 66 087-10-90,alevtyn26@gmail.com
Левченко,Яків,Зіновійович,Чоловік,2008-09-28,Мірошник,селище Мерефа,"шосе Матроський, буд. 24 кв. 0, Ізюм, 22314",062 79 38,imalyshko@gmail.com
Баранник,Богдан,Петрович,Чоловік,1985-05-23,Маркетолог,село Енергодар,"шосе Юннатів 3-й, буд. 5 кв. 76, Білицьке, 14046",092 416 88 29,vashchenko-zakharchenkovadym@gmail.com
Скиба,Єлисавета,Петрівна,Жінка,2005-02-21,Машиніст,селище Суми,"сквер 14-та ст. Великого Фонтану пляж, буд. 32, Судова Вишня, 67352",+380 (00) 598-59-51,qprokopovych@ukr.net
Андрійович,Лілія,Ігорівна,Жінка,2005-04-01,Художник,село Волочиськ,"проспект Садовий, буд. 32 кв. 5, Козятин, 18653",076 581-43-80,shcherbandemian@gmail.com
Бабак,Роман,Петрович,Чоловік,1995-01-19,Історик,місто Бобринець,"узвіз Олександра Блока, буд. 64, Федорівка, 34710",431 92 69,khrystynatkach@gmail.com
Доценко,Златослава,Ігорівна,Жінка,1947-05-20,Конструктор,селище Дніпро,"узвіз Соляний 3-й, буд. 537 кв. 68, Вільнянськ, 18287",803-20-44,irvanetsokhrim@ukr.net
Бандурка,Онисим,Тимофійович,Чоловік,1995-05-14,Євнух,селище Олександрія,"вулиця Петра Біциллі, буд. 46, Старобільськ, 57195",+380 16 845-05-33,demianpryimak@ukr.net
Яковенко,Валентина,Олегівна,Жінка,2002-10-02,Флорист,місто Зіньків,"узвіз Банний, буд. 6 кв. 493, Ізяслав, 85297",372-91-26,rozaliia71@gmail.com
Андрусенко,Прохір,Олегович,Чоловік,1956-07-27,Гірник,село Волноваха,"площа Іванівська, буд. 1, Новгород-Сіверський, 77406",027 783-63-59,edyta99@gmail.com
Кабалюк,Августин,Андрійович,Чоловік,1978-11-27,Штукатур,селище Конотоп,"узвіз Сортувальна 2-га, буд. 6 кв. 318, Кілія, 90768",932-35-04,jieroshenko@gmail.com
Чумаченко,Антон,Антонович,Чоловік,1959-11-13,Біолог,селище Новоазовськ,"вулиця Віри Холодної, буд. 74 кв. 61, Бершадь, 29616",+380 43 602 73 72,leon33@ukr.net
Чередник,Аніта,Михайлівна,Жінка,1951-02-10,Архітектор,місто Новий Розділ,"проспект Юннатів 1-й, буд. 20 кв. 59, Зеленодольськ, 34277",006 346 73 21,batihhryhorii@ukr.net
Жук,Оксенія,Григорівна,Жінка,1981-06-10,Різноробочий,місто Бучач,"узвіз Миколи Костомарова, буд. 3, Новий Розділ, 60367",333-20-38,iashchenkoivan@gmail.com
Заїка,Ростислав,Максимович,Чоловік,1993-03-08,Фізик,місто Коломия,"провулок Івана Микитенка, буд. 58 кв. 41, Луцьк, 45515",766 34 86,zatovkaniukodarka@ukr.net
Демʼяненко,Валентин,Максимович,Чоловік,2006-12-07,Машиніст,місто Березань,"вулиця Павлодарська, буд. 88 кв. 408, Мостиська, 59565",719 54 36,ievhen71@gmail.com
Ґалаґан,Роксолана,Василівна,Жінка,1982-09-22,Реставратор,місто Моспине,"площа Тараса Кузьміна, буд. 358 кв. 496, Арциз, 40385",+380 (62) 237-87-72,panteleimon16@ukr.net
Акуленко,Демʼян,Михайлович,Чоловік,1983-07-14,Дипломат,місто Коростень,"провулок Артезіанська, буд. 6, Міусинськ, 33768",093 559-59-83,mamchurmilena@ukr.net
Палій,Юхим,Романович,Чоловік,1976-07-21,Кур'єр,місто Бахмут,"проспект Каховський, буд. 00, Довжанськ, 19685",044 087-07-04,panas84@gmail.com
Цибуленко,Симон,Тимофійович,Чоловік,1964-06-07,Біолог,місто Златопіль,"провулок Сабанський, буд. 08, Олешки, 52268",547-12-91,heorhii70@gmail.com
Овчаренко,Лесь,Дмитрович,Чоловік,1957-02-03,Журналіст,місто Полонне,"парк Приморський, буд. 2 кв. 69, Білогірськ, 93374",+380 49 351 43 83,anitachumak@gmail.com
Гайдамака,Тарас,Іванович,Чоловік,1970-07-05,Стропальник,місто Кальміуське,"парк Амбулаторний 2-й, буд. 303, Шпола, 29427",083 990 53 82,orest72@ukr.net
Базавлученко,Марʼяна,Ігорівна,Жінка,1976-11-16,Парфюмер,селище Дніпро,"площа Торгова, буд. 7, Берестин, 83998",+380 36 747-88-97,tytarenkohryhorii@gmail.com
Засенко,Єлисей,Ігорович,Чоловік,1962-06-29,Ботанік,місто Золотоноша,"парк Лінія 38-ма, буд. 249 кв. 3, Пологи, 32326",046 519 59 39,hannamamchur@ukr.net
Якименко,Юхим,Володимирович,Чоловік,2004-07-27,Дерун,селище Боково-Хрустальне,"сквер Мелодійний, буд. 691, Баранівка, 60342",+380 02 899-60-09,vrudyk@ukr.net
Артимишина,Амвросій,Олександрович,Чоловік,1953-06-26,Штукатур,село Лохвиця,"узвіз Болгарська, буд. 5 кв. 524, Шептицький, 85166",089 33 56,myronaleksandrenko@ukr.net
Юрчук,Руслан,Володимирович,Чоловік,1951-06-14,Маркетолог,місто Дружківка,"площа Неплія, буд. 49 кв. 6, Любомль, 38087",+380 44 836-80-82,rebrykleon@ukr.net
Вернидуб,Лариса,Михайлівна,Жінка,1971-06-12,Епідеміолог,село Чернігів,"провулок Старобазарний, буд. 795, Хмільник, 60225",+380 98 295 34 77,hiurchuk@gmail.com
Дейсун,Богдан,Володимирович,Чоловік,1979-08-04,Клавішник,село Сокаль,"набережна Олега Андрійця, буд. 64 кв. 52, П'ятихатки, 21205",+380 (37) 750-44-69,zasiadkoadam@gmail.com
Данчук,Лілія,Максимівна,Жінка,1965-10-14,М'ясник,село Святогірськ,"провулок Південно-Санаторний, буд. 2 кв. 524, Кам'янець-Подільський, 82896",001-12-22,vpryimak@gmail.com
Єременко,Панас,Ярославович,Чоловік,1969-10-07,Підприємець,селище Рахів,"шосе Інглезі, буд. 46, Лозова, 63721",091 938 15 32,somkoaaron@gmail.com
Козаченко,Єфрем,Іванович,Чоловік,1975-09-11,Акушер,місто Новоазовськ,"площа Олександра Білостінного, буд. 792, Сміла, 70467",701-63-52,adam98@ukr.net
Мазур,Павло,Андрійович,Чоловік,1966-07-01,Юрист,селище Слов'янськ,"шосе 2-й Академічний тупик, буд. 851 кв. 5, Буча, 40013",478 14 96,solomiiatarasenko@ukr.net
Шахрай,Марʼяна,Володимирівна,Жінка,1943-06-30,Актор,селище Зеленодольськ,"узвіз Олега Андрійця, буд. 740, Баштанка, 52416",288 40 08,kgoliash@gmail.com
Ґерус,Василь,Сергійович,Чоловік,2004-01-31,Футболіст,місто Вараш,"парк Василя Кричевського, буд. 941, Вінниця, 55472",273-87-15,sofiia73@gmail.com
Ірванець,Амалія,Зіновіївна,Жінка,1988-08-28,Перекладач,селище Обухів,"проспект Шота Руставелі, буд. 55 кв. 3, Брянка, 08232",+380 34 141-23-99,snizhanachervonenko@gmail.com
Фоменко,Костянтин,Петрович,Чоловік,1999-04-11,Нотаріус,селище Новодружеськ,"парк Балтиморська, буд. 590, Ірміно, 14083",+380 93 201 53 94,harkhymovych@ukr.net
Шиян,Захар,Зіновійович,Чоловік,1949-01-25,Стиліст,селище Дрогобич,"парк Володимира Вінниченка, буд. 309 кв. 657, Хмільник, 09262",081 64 22,heorhii79@gmail.com
Вергун,Орина,Дмитрівна,Жінка,1993-01-25,Епідеміолог,селище Монастириська,"набережна Північна, буд. 14, Новоград-Волинський, 58884",776 35 68,chekaliukiaroslava@gmail.com
Шеремет,Маруся,Григорівна,Жінка,1968-03-14,Етнограф,місто Березань,"проспект Мигдальна, буд. 11 кв. 69, Борзна, 62048",283-89-85,marusia07@ukr.net
Проценко,Лілія,Романівна,Жінка,1976-12-20,Модель,село Бобринець,"парк Академіка Липського, буд. 49, Городенка, 63558",+380 36 280-76-05,trokhymchmil@gmail.com
Приймак,Хома,Андрійович,Чоловік,1940-11-05,Хімік,місто Ніжин,"парк Дачний, буд. 18, Голубівка, 84105",+380 26 307-52-14,nandriichuk@ukr.net
Артюх,Анастасія,Андріївна,Жінка,1940-07-18,Психолог,селище Кіцмань,"парк Четверта, буд. 78, Буча, 22581",+380 08 516-89-04,baidavenedykt@ukr.net
Конопленко,Устим,Андрійович,Чоловік,1968-05-08,Правник,селище Глиняни,"вулиця Овідіопольська, буд. 10 кв. 6, Тлумач, 68536",577 08 65,martyn10@gmail.com
Палій,Михайло,Тимофійович,Чоловік,1991-10-03,Ґрунтознавець,село Тетіїв,"провулок Жевахова, буд. 51, Гнівань, 79192",734-03-31,pzinchuk@ukr.net
Бабій,Кирило,Олександрович,Чоловік,1949-08-17,Геолог,селище Гадяч,"сквер Старосінна, буд. 345 кв. 4, Буринь, 93357",+380 05 032-35-52,opanas65@ukr.net
Асаула,Стефан,Максимович,Чоловік,1993-04-01,Медик,місто Жашків,"проспект Архітектурна, буд. 274, Тернівка, 33392",129-47-18,riefymenko@gmail.com
Сіробаба,Охрім,Зіновійович,Чоловік,2008-05-12,Клоун,селище Перевальськ,"провулок Севастопольський, буд. 70, Жданівка, 63152",+380 (31) 248-89-54,alevtynnestaiko@gmail.com
Цюцюра,Мирон,Ігорович,Чоловік,1966-05-11,Редактор,селище Дніпро,"проспект Санаторний, буд. 623 кв. 9, Великі Мости, 42565",300-34-63,omelian13@ukr.net
Верхола,Володимир,Ярославович,Чоловік,1988-10-13,Реставратор,місто Білогірськ,"площа Гайова, буд. 113 кв. 56, Татарбунари, 81813",187-80-31,tytarenkonazar@ukr.net
Приймак,Яків,Ігорович,Чоловік,1966-05-24,Швачка,селище Татарбунари,"площа Стеценко, буд. 9, Донецьк, 84500",+380 40 470-28-07,aaron94@ukr.net
Закусило,Лукʼян,Андрійович,Чоловік,2008-01-29,Євнух,селище Скалат,"парк Хімічна, буд. 15 кв. 22, Богуслав, 39228",896-29-28,alberthavrysh@ukr.net
Франчук,Лукʼян,Антонович,Чоловік,1993-07-20,Акушер,місто Белз,"парк Приморська, буд. 7, Соледар, 10059",654-65-52,terezadubas@gmail.com
Атрощенко,Дмитро,Валентинович,Чоловік,1969-11-16,Локсмайстер,село Карлівка,"шосе Заньковецької, буд. 3 кв. 1, Кагарлик, 19762",+380 65 228 33 82,cieresko@gmail.com
Вахній,Орхип,Михайлович,Чоловік,1947-04-07,Антрополог,місто Оріхів,"узвіз Професора Коровицького, буд. 4 кв. 962, Новогродівка, 78745",509-73-95,sshamrai@ukr.net
Приходько,Богодар,Вікторович,Чоловік,1989-04-08,Різноробочий,село Фастів,"сквер Березовий, буд. 65, Тиврів, 95957",+380 78 654-82-78,odarkamoskal@gmail.com
Цушко,Веніямин,Сергійович,Чоловік,2001-11-19,Промисловець,місто Берестин,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 565 кв. 56, Іршава, 12775",071 964-04-25,artem17@ukr.net
Гузь,Пантелеймон,Петрович,Чоловік,1974-12-02,М'ясник,місто Молочанськ,"парк Каберне, буд. 7 кв. 560, Борзна, 63100",+380 (73) 474-60-68,nriabets@ukr.net
Негода,Леон,Михайлович,Чоловік,1956-04-04,Державний службовець,село Шаргород,"площа Індійська, буд. 950, Гуляйполе, 44483",001 848 60 93,volodymyrshukhevych@gmail.com
Наливайко,Микита,Володимирович,Чоловік,1946-03-28,Кінолог,місто Алушта,"проспект Палубний, буд. 305 кв. 9, Козятин, 75399",+380 50 771 60 33,iakivdzyndra@gmail.com
Андрусенко,Златослава,Олегівна,Жінка,1939-12-09,Євнух,селище Бершадь,"узвіз Зелена гірка, буд. 643, Самар, 54907",466-50-02,ostap68@ukr.net
Товстуха,Тарас,Вікторович,Чоловік,1982-08-26,Електромонтажник,місто Кам'янка-Дніпровська,"площа Академіка Векслера, буд. 01, Почаїв, 09558",925-15-05,lukiandatsiuk@gmail.com
Медведенко,Орися,Антонівна,Жінка,2008-05-13,Ді-джей,місто Яворів,"площа Китобійний 1-й, буд. 74 кв. 09, Подільськ, 32606",038-96-32,iaryna26@gmail.com
Шаповал,Марко,Тимофійович,Чоловік,1984-10-16,Електротехнік,селище Верхівцеве,"вулиця Острозька, буд. 561, Торецьк, 17563",+380 (87) 443-84-52,vermenychhavrylo@gmail.com
Комар,Ярина,Іванівна,Жінка,1984-05-09,Каскадер,місто Заліщики,"проспект Тепличний 2-й, буд. 9 кв. 2, Чернігів, 36120",256 69 97,ielysaveta19@gmail.com
Ґереґа,Давид,Максимович,Чоловік,1941-08-05,Електротехнік,місто Нетішин,"шосе Томатна, буд. 604 кв. 715, Южноукраїнськ, 56420",082 922 64 57,amaliia33@gmail.com
Гаврилів,Амвросій,Васильович,Чоловік,1976-10-24,Краєзнавець,село Тетіїв,"шосе Морський, буд. 199 кв. 9, Кремінна, 21569",+380 05 081-45-29,tsymbaliukviktor@ukr.net
Юрчишин,Леонід,Михайлович,Чоловік,1999-05-31,Громадський діяч,місто Бережани,"провулок Географічний, буд. 233, Бахмач, 66664",+380 25 187-97-73,gvakulenko@ukr.net
Євдокименко,Прохір,Тимофійович,Чоловік,1965-06-15,Стропальник,селище Вільнянськ,"провулок Назарівська, буд. 50, Боярка, 62845",+380 (13) 023-07-39,iaroslavatykha@ukr.net
Павличенко,Омелян,Вікторович,Чоловік,1990-12-17,Диригент,місто Херсон,"провулок Четверта, буд. 449 кв. 3, Перещепине, 36472",481-78-82,ihor61@ukr.net
Баран,Леон,Зіновійович,Чоловік,1985-11-15,Адвокат,селище Ізюм,"проспект Володимира Вінниченка, буд. 62 кв. 9, Харцизьк, 22559",+380 (69) 070-37-43,halynahunko@ukr.net
Забара,Єва,Іванівна,Жінка,1944-04-30,Випробувач,селище Чугуїв,"площа Український 2-й, буд. 43, Богуслав, 13160",084 609-94-05,hermanshchors@ukr.net
Сіробаба,Лукʼян,Дмитрович,Чоловік,1992-12-09,Археолог,село Токмак,"узвіз Кладовищний, буд. 6 кв. 449, Кремінна, 90191",+380 18 419 62 81,iaroslavhavryshkevych@ukr.net
Дубина,Орися,Петрівна,Жінка,1941-01-18,Акушер,селище Білозерське,"площа Миколи Костомарова, буд. 1, Коростень, 17442",066 064 14 06,qtelizhenko@gmail.com
Товстоліс,Варфоломій,Валентинович,Чоловік,1978-03-22,Локсмайстер,село Соледар,"шосе Серединський, буд. 264 кв. 7, Миколаївка, 53212",+380 62 833-67-36,revaonysym@gmail.com
Андріїшин,Вадим,Васильович,Чоловік,2002-03-27,Дипломат,село Барвінкове,"набережна Караїмська, буд. 8 кв. 862, Дубровиця, 44241",+380 (98) 608-00-72,mkhudobiak@ukr.net
Колісниченко,Анжела,Михайлівна,Жінка,1973-05-27,Слідчий,село Мукачево,"парк Товарний, буд. 115 кв. 8, Хмільник, 98184",055 256 16 94,dbalaban@ukr.net
Охріменко,Лариса,Олегівна,Жінка,1953-08-23,Ювелір,селище Нетішин,"вулиця Ватманський, буд. 255 кв. 7, Корець, 32714",+380 59 825-05-66,iurchenkoprokhir@gmail.com
Бандера,Оксана,Михайлівна,Жінка,2004-12-14,Композитор,місто Полтава,"набережна Петра Болбочана, буд. 815 кв. 7, Ясинувата, 11930",+380 28 710-09-48,markhymovych@ukr.net
Швачка,Артем,Олегович,Чоловік,1980-09-18,Гицель,село Коростишів,"площа Хотинський, буд. 24 кв. 000, Золотоноша, 13303",+380 72 027-70-47,iurchyshynodarka@ukr.net
Товстуха,Семен,Сергійович,Чоловік,1983-06-20,Літературознавець,місто Саки,"набережна Лиманний, буд. 031 кв. 1, Конотоп, 20029",090 347 11 76,anitabashpolchenko@gmail.com
Василашко,Лариса,Володимирівна,Жінка,2008-07-03,Провізор,селище Білицьке,"сквер Стражеска Миколи, буд. 1 кв. 9, Умань, 50780",+380 86 430-30-82,pryimakbohdan@gmail.com
Захарченко,Августин,Олегович,Чоловік,1948-05-27,Мистецтвознавець,селище Зугрес,"набережна Журавлина, буд. 93 кв. 20, Біла Церква, 39921",+380 31 012 37 52,czabara@gmail.com
Власенко,Макар,Іванович,Чоловік,1947-06-06,Адвокат,місто Хмельницький,"провулок Заводська 2-га, буд. 6, Кропивницький, 99596",053 005 70 36,adamenkoalevtyn@ukr.net
Салій,Миколай,Тимофійович,Чоловік,1960-08-28,Електротехнік,селище Путивль,"провулок Кишинівська, буд. 28 кв. 89, Шахтарське, 40003",073-28-60,ihor83@ukr.net
Вишивана,Юхим,Васильович,Чоловік,1996-09-18,Прокурор,селище Гірник,"узвіз Планетна, буд. 93 кв. 06, Саки, 76448",043 657 29 88,varvara44@gmail.com
Короленко,Яків,Валентинович,Чоловік,1988-01-26,Ювелір,село Полтава,"сквер Пляжна, буд. 920 кв. 841, Білицьке, 06147",+380 92 478-62-30,petro39@gmail.com
Дурдинець,Ярослав,Тимофійович,Чоловік,1998-01-30,Кінокритик,селище Куп'янськ,"площа Путівна, буд. 0, Луганськ, 06387",047 16 99,gerusielysei@gmail.com
Демʼяненко,Ростислав,Валентинович,Чоловік,1944-03-17,Математик,селище Сімферополь,"узвіз Андреєвського, буд. 305, Зеленодольськ, 64273",870-90-49,larysashovkoplias@gmail.com
Демʼянюк,Руслан,Андрійович,Чоловік,1979-01-03,Інженер,село Кам'янець-Подільський,"сквер Європейська, буд. 543 кв. 3, Сіверськодонецьк, 91551",077 807 38 46,mykhailychenkoleonid@gmail.com
Байда,Любов,Василівна,Жінка,1974-10-25,Детектив,селище Охтирка,"провулок Петра Болбочана, буд. 899, Амвросіївка, 73998",113 29 39,klymentatamanchuk@gmail.com
Давиденко,Руслан,Антонович,Чоловік,1991-09-17,Прокурор,село Ніжин,"проспект Манежний, буд. 0 кв. 452, Бердичів, 94208",+380 07 577-10-70,vdovychenkoolena@ukr.net
Лисенко,Марина,Олегівна,Жінка,1946-10-14,Сценарист,село Вишневе,"площа Миколи Вороного, буд. 7, Ізюм, 19658",+380 (37) 328-20-17,solomon18@gmail.com
Дашенко,Лесь,Вікторович,Чоловік,1980-02-03,Мінералог,місто Сватове,"парк Нечипуренка, буд. 00, Ужгород, 57644",+380 83 305 44 00,tetiana83@gmail.com
Андрощук,Леопольд,Петрович,Чоловік,1986-10-10,Фольклорист,село Лубни,"провулок Миколи Кравченка, буд. 46 кв. 9, Златопіль, 36289",+380 52 178-05-82,larysaumanets@ukr.net
Гриценко,Леопольд,Олегович,Чоловік,2002-05-07,Реставратор,селище Новгород-Сіверський,"проспект Десятого квітня, буд. 4 кв. 6, Хуст, 92436",+380 79 257-68-28,darahaniryna@gmail.com
Єфименко,Гаврило,Максимович,Чоловік,1980-08-03,Геофізик,селище Добропілля,"площа Чигиринська, буд. 8 кв. 1, Гайворон, 09914",627-05-06,demianiukvladyslav@gmail.com
Бабʼяк,Орися,Вікторівна,Жінка,1980-01-01,М'ясник,село Зугрес,"сквер Прибережний, буд. 6 кв. 1, Кіцмань, 71255",+380 71 310-74-12,zazhazha@gmail.com
Шаблій,Олександр,Андрійович,Чоловік,1956-04-21,Педагог,місто Ровеньки,"провулок Генуезька, буд. 169, Трускавець, 07612",535-96-51,valentyn74@ukr.net
Пилипенко,Лілія,Ярославівна,Жінка,2003-06-14,Фермер,село Івано-Франківськ,"шосе Радісна, буд. 3 кв. 8, Саки, 04736",037 475-26-92,eivanchenko@gmail.com
Вдовиченко,Руслан,Ігорович,Чоловік,1956-12-24,Швачка,селище Вижниця,"сквер Посівна, буд. 95 кв. 257, Берестечко, 76249",595-13-88,stefanoliinyk@gmail.com
Дерегус,Марія,Григорівна,Жінка,2007-03-29,Нотаріус,село Сарни,"сквер Хімічна, буд. 946, Ізюм, 62629",+380 37 325 67 03,pchumachenko@ukr.net
Черінько,Ліза,Григорівна,Жінка,1946-01-07,Математик,місто Білозерське,"узвіз Виїзна, буд. 611 кв. 25, Монастирище, 16988",020 140 38 53,solomiiababiuk@gmail.com
Яценюк,Миколай,Андрійович,Чоловік,2001-07-07,Пілот,місто Корець,"вулиця Братів Малакових, буд. 87 кв. 08, Южноукраїнськ, 74667",+380 (56) 034-48-58,qumanets@ukr.net
Данилюк,Людмила,Олександрівна,Жінка,2002-07-21,Гицель,селище Южне,"набережна Байкал тупик, буд. 9 кв. 2, Вилкове, 25938",902 66 31,kmykhailychenko@gmail.com
Дараган,Нестор,Максимович,Чоловік,1957-05-24,Художник,місто Торецьк,"парк Успенський, буд. 2, Тетіїв, 13003",+380 83 849 67 83,mkhorishko@ukr.net
Затула,Юхим,Вікторович,Чоловік,2000-06-12,Сантехнік,село Устилуг,"вулиця Опішнянський, буд. 50, Старокостянтинів, 64020",+380 85 457 73 50,demydhrechko@gmail.com
Голик,Дмитро,Михайлович,Чоловік,1964-02-07,Продюсер,село Марганець,"провулок Педагогічний, буд. 681, Світлодарськ, 55078",320-34-37,simashkevychsviatoslav@gmail.com
Лазаренко,Леонід,Антонович,Чоловік,1970-12-07,Секретар,село Новгород-Сіверський,"проспект Садова 5-та, буд. 7, Стебник, 36994",023-39-10,levko76@ukr.net
Романчук,Петро,Сергійович,Чоловік,1977-05-25,Режисер,селище Сторожинець,"вулиця Астрономічний, буд. 114 кв. 204, Зугрес, 55502",011 103-98-91,echuiko@ukr.net
Девдюк,Амалія,Олександрівна,Жінка,1951-10-02,Промисловець,місто Конотоп,"шосе Бернардацці, буд. 967, Одеса, 22452",565 58 03,venedykt26@gmail.com
Кабалюк,Ірена,Іванівна,Жінка,1967-05-27,Ріелтор,селище Верхівцеве,"площа Петра Болбочана, буд. 78 кв. 0, Винники, 27960",785 83 20,andrii97@ukr.net
Базилевський,Адам,Іванович,Чоловік,1940-04-01,Випробувач,село Коломия,"набережна Аптекарський, буд. 606 кв. 504, Ямпіль, 81223",345 46 56,svitlana36@gmail.com
Василашко,Мирон,Дмитрович,Чоловік,2004-10-07,Журналіст,селище Сіверськодонецьк,"площа Чорноморська, буд. 6, Ясинувата, 35582",787-05-68,shynkarenkomilena@ukr.net
Давимука,Степан,Дмитрович,Чоловік,2008-08-25,Швачка,місто Перевальськ,"проспект Валерія Лобановського, буд. 799, Волноваха, 25751",016-61-04,halyna55@ukr.net
Лаба,Аркадій,Ігорович,Чоловік,1942-04-07,Кур'єр,село Дрогобич,"площа Водопровідний 2-й, буд. 486, Ужгород, 32038",+380 86 781-54-46,mpetryk@ukr.net
Тимченко,Богуслава,Ярославівна,Жінка,1988-09-25,Ботанік,село Батурин,"набережна Литовська, буд. 113, Глухів, 05734",+380 88 994 46 53,nadiia02@ukr.net
Журба,Олег,Михайлович,Чоловік,1977-03-28,Фотограф,село Христинівка,"узвіз Травневий 3-й, буд. 768, Кремінна, 66746",+380 77 486-61-84,iaryna28@gmail.com
Петрик,Франц,Іванович,Чоловік,1991-10-10,Гірничий інженер,селище Зимогір'я,"проспект Балтський 5-й, буд. 53, Сновськ, 79413",032 192-45-25,irena46@gmail.com
